AppID,Name,Release_Date,Primary_Genre,All_Tags,Price_USD,Discount_Pct,Review_Score_Pct,Total_Reviews,Steam_Deck_Status,Estimated_Owners,24h_Peak_Players
2208920,Assassin's Creed Valhalla,12/6/2022,Action,Open World;Action;RPG;Adventure;Vikings;Singleplayer;Multiplayer;Third Person;Action-Adventure;Stealth,59.99,0,67,37550,Unknown,1126500,1379
1151640,Horizon Zero Dawn™ Complete Edition,8/7/2020,Action,Open World;Adventure;Female Protagonist;Singleplayer;Story Rich;RPG;Action;Post-apocalyptic;Sci-fi;Robots,0,0,83,95170,Unknown,2855100,700
3654560,Plants vs. Zombies™: Replanted,10/23/2025,Strategy,Tower Defense;Local Multiplayer;Zombies;Local Co-Op;Retro;Casual;Remake;Comedy;Singleplayer;Cartoony,19.99,0,77,5586,Unknown,167580,0
233860,Kenshi,12/6/2018,Action,Open World;Sandbox;RPG;Survival;Strategy;Building;Base Building;Singleplayer;Post-apocalyptic;Crafting,29.99,0,95,92579,Unknown,2777370,5412
1672970,Minecraft Dungeons,9/22/2021,Action,Dungeon Crawler;Hack and Slash;Adventure;Action;RPG;Action RPG;Loot;Action-Adventure;Exploration;Top-Down,19.99,0,84,14498,Unknown,434940,260
1677350,EA SPORTS™ PGA TOUR™,4/6/2023,RPG,Sports;RPG;Co-op;Local Co-Op;Golf;Local Multiplayer;Multiplayer;Online Co-Op;Singleplayer,6.99,90,73,1998,Unknown,59940,77
47810,Dragon Age: Origins - Ultimate Edition,10/26/2010,RPG,RPG;Fantasy;Story Rich;Choices Matter;Singleplayer;Party-Based RPG;Real-Time with Pause;Character Customization;Mature;Adventure,7.49,75,75,27622,Unknown,828660,394
2407830,Trash Goblin,5/28/2025,Casual,Casual;Wholesome;Relaxing;Simulation;Singleplayer;Shop Keeper;Cozy;Time Management;Crafting;Colorful,9.99,50,82,1288,Unknown,38640,129
1338490,AFTERBLAST,11/26/2025,Action,Early Access;FPS;Online Co-Op;Action Roguelike;Roguelite;Co-op;Action;Roguelike;Shooter;Multiplayer,14.99,0,80,159,Unknown,4770,0
429050,Feed and Grow: Fish,1/8/2016,Action,Simulation;Underwater;Survival;Multiplayer;Early Access;Action;Open World;Indie;Singleplayer;Adventure,14.99,0,82,19724,Unknown,591720,189
851850,DRAGON BALL Z: KAKAROT,1/16/2020,Action,Action;RPG;Anime;Open World;Fighting;Singleplayer;Multiplayer;Story Rich;Adventure;JRPG,19.99,0,94,43043,Unknown,1291290,264
2384580,DYNASTY WARRIORS: ORIGINS,1/16/2025,Action,Hack and Slash;Spectacle fighter;Musou;Wargame;Martial Arts;Action RPG;RPG;Strategy;Dating Sim;Historical,69.99,0,89,18470,Unknown,554100,1314
3949290,Ys X: Proud Nordics,2/20/2026,Action,Action;Adventure;RPG;Action RPG;Action-Adventure;JRPG;Exploration;Visual Novel;Hack and Slash;3D,69.99,0,73,0,Unknown,0,0
32470,STAR WARS™ Empire at War - Gold Pack,5/25/2010,Strategy,Strategy;RTS;Space;Sci-fi;Multiplayer;Singleplayer;Moddable;Mod;Tactical;War,19.99,0,100,34891,Unknown,1046730,2818
2569510,MLB Rivals,3/17/2025,Sports,Sports;Free to Play;Baseball;Controller;Multiplayer;PvP;3D;Early Access;Simulation;Third Person,0,0,83,0,Unknown,0,0
1084160,Jagged Alliance 3,7/14/2023,Action,Strategy;Turn-Based Tactics;Tactical;Turn-Based Strategy;Turn-Based Combat;RPG;Tactical RPG;Singleplayer;Strategy RPG;Isometric,13.49,70,83,10385,Unknown,311550,363
1258080,Shop Titans,5/5/2020,Adventure,Idler;Shop Keeper;Crafting;Medieval;Base Building;Management;Economy;Trading;Character Customization;RPG,0,0,70,0,Unknown,0,3279
19680,Alice: Madness Returns,6/17/2011,Action,Dark Fantasy;Horror;3D Platformer;Female Protagonist;Hack and Slash;Gothic;Action-Adventure;Singleplayer;Story Rich;Psychological,1.99,80,88,25136,Unknown,754080,260
1552350,The Jackbox Party Pack 8,10/13/2021,Casual,Party Game;Comedy;Trivia;Family Friendly;Casual;Colorful;Funny;Indie;Word Game;Local Multiplayer,29.99,0,90,1118,Unknown,33540,39
2658510,Animal Shelter 2,7/23/2025,Adventure,Simulation;Dog;Cats;Cute;Multiplayer;Family Friendly;Realistic;Casual;Life Sim;Management,24.99,0,83,895,Unknown,26850,0
1032430,Blood Trail,3/27/2019,Action,Gore;Violent;VR;Action;Sandbox;Realistic;Blood;Horror;Shooter;Early Access,24.99,0,77,6629,Unknown,198870,74
